captely-crm-service  | 2025-06-08T13:48:15.742202375Z Postgres is up - executing command
captely-crm-service  | 2025-06-08T13:58:51.261592323Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.301379187Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.331904538Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.368008408Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.404635018Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.448034727Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.490114402Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.525577550Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.567595461Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.618587049Z INFO:     51.195.190.14:40014 - "GET /devicedesc.xml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.189354270Z INFO:     51.195.190.14:45732 - "GET /localstart.php HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.189945577Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:59:09.192638833Z INFO:     51.195.190.14:45844 - "GET /CSS/Miniweb.css HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.192648521Z INFO:     51.195.190.14:45832 - "GET /.git/HEAD HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.192652880Z INFO:     51.195.190.14:45818 - "GET /i3iW HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.192656516Z INFO:     51.195.190.14:45736 - "GET / HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.353825159Z INFO:     51.195.190.14:46466 - "GET / HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.354431505Z INFO:     51.195.190.14:46472 - "GET /inicio.html HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.517123469Z INFO:     51.195.190.14:46896 - "GET /inicio.aspx HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.620765568Z INFO:     51.195.190.14:47210 - "GET /Portal0000.htm HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.673765519Z INFO:     51.195.190.14:47354 - "GET /start.cfm HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.773630027Z INFO:     51.195.190.14:47674 - "GET /__Additional HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.829262049Z INFO:     51.195.190.14:47788 - "GET /inicio.php HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.831645429Z INFO:     51.195.190.14:47786 - "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.998673220Z INFO:     51.195.190.14:48258 - "GET /base.asp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:09.998743141Z INFO:     51.195.190.14:48252 - "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.051266045Z INFO:     51.195.190.14:48394 - "HEAD / HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.151396467Z INFO:     51.195.190.14:48672 - "GET /indice.pl HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.304530918Z INFO:     51.195.190.14:48984 - "GET / HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.306100986Z INFO:     51.195.190.14:48988 - "GET /cgi-mod/header_logo.cgi?size=big HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.306211792Z INFO:     51.195.190.14:48990 - "GET /admin.pl HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.467117276Z INFO:     51.195.190.14:49346 - "GET /localstart.aspx HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.619190794Z INFO:     51.195.190.14:49698 - "GET /favicon.ico HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.620712903Z INFO:     51.195.190.14:49702 - "GET /indice.jsp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.773189301Z INFO:     51.195.190.14:50066 - "GET /menu.shtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:10.921961305Z INFO:     51.195.190.14:50378 - "GET /home.aspx HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:11.080256015Z INFO:     51.195.190.14:50720 - "GET /indice.asp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:11.231655822Z INFO:     51.195.190.14:51012 - "GET /start.jsa HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:11.382352392Z INFO:     51.195.190.14:51326 - "GET /menu.pl HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:11.535544380Z INFO:     51.195.190.14:51632 - "GET /home.shtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:11.687751448Z INFO:     51.195.190.14:51928 - "GET /admin.shtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:11.841788506Z INFO:     51.195.190.14:52248 - "GET /indice.aspx HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:11.842055763Z INFO:     51.195.190.14:52246 - "GET /health HTTP/1.1" 200 OK
captely-crm-service  | 2025-06-08T13:59:11.988018275Z INFO:     51.195.190.14:52550 - "GET /admin.cgi HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.142759041Z INFO:     51.195.190.14:52858 - "GET /admin.html HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.245200839Z INFO:     51.195.190.14:53062 - "GET /login.php HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.295044774Z INFO:     51.195.190.14:53174 - "GET /index.asp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.395693320Z INFO:     51.195.190.14:53338 - "GET /dniapi/userInfos HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.445406953Z INFO:     51.195.190.14:53442 - "GET /admin.cfm HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.546289072Z INFO:     51.195.190.14:53636 - "GET /api/v2/about HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.595743082Z INFO:     51.195.190.14:53716 - "GET /main.php HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.695694723Z INFO:     51.195.190.14:53902 - "GET /webui HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.745120552Z INFO:     51.195.190.14:53994 - "GET /default.jsp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.846194177Z INFO:     51.195.190.14:54160 - "GET /user HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.895242804Z INFO:     51.195.190.14:54238 - "GET /default.aspx HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:12.999374845Z INFO:     51.195.190.14:54410 - "GET /human.aspx?arg12=infotech HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.048249107Z INFO:     51.195.190.14:54478 - "GET /base.jsp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.149949288Z INFO:     51.195.190.14:54648 - "GET /dana-cached/hc/HostCheckerInstaller.osx HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.199483537Z INFO:     51.195.190.14:54726 - "GET /admin.aspx HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.301356157Z INFO:     51.195.190.14:54874 - "GET /dana-na/nc/nc_gina_ver.txt HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.351455768Z INFO:     51.195.190.14:54954 - "GET /index.jsp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.458463812Z INFO:     51.195.190.14:55094 - "GET /%2BCSCOE%2B/logon.html HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.506087432Z INFO:     51.195.190.14:55172 - "GET /admin.asp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.610431655Z INFO:     51.195.190.14:55332 - "GET /CFIDE/componentutils/ HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.660488877Z INFO:     51.195.190.14:55430 - "GET /start.asp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.760737680Z INFO:     51.195.190.14:55564 - "GET /geoserver/index.html HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.813238834Z INFO:     51.195.190.14:55658 - "GET /index.cfm HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.915856108Z INFO:     51.195.190.14:55844 - "GET /geoserver/ HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:13.966448483Z INFO:     51.195.190.14:55934 - "GET /base.shtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.067922744Z INFO:     51.195.190.14:56132 - "GET /geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.116663439Z INFO:     51.195.190.14:56238 - "GET /main.cgi HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.217497439Z INFO:     51.195.190.14:45834 - "GET / HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.219859109Z INFO:     51.195.190.14:56414 - "GET /Account/Login HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.270103798Z INFO:     51.195.190.14:56502 - "GET /base.pl HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.371695937Z INFO:     51.195.190.14:56674 - "GET /cgi-bin/info.cgi HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.421830523Z INFO:     51.195.190.14:56746 - "GET /localstart.cfm HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.520745998Z INFO:     51.195.190.14:56918 - "GET /xml/info.xml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.572488762Z INFO:     51.195.190.14:57054 - "GET /base.php HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.673234558Z INFO:     51.195.190.14:57198 - "GET /magento_version HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.723282522Z INFO:     51.195.190.14:57290 - "GET /inicio.cgi HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.825242346Z INFO:     51.195.190.14:57438 - "GET /api/v1/check-version HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.881612960Z INFO:     51.195.190.14:57540 - "GET /indice.jsa HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:14.978375084Z INFO:     51.195.190.14:57730 - "GET /fog/management/index.php?node=client&sub=logininfo HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.025506246Z INFO:     51.195.190.14:57812 - "GET /localstart.pl HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.128236070Z INFO:     51.195.190.14:58006 - "GET /helpdesk/WebObjects/Helpdesk.woa HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.178684909Z INFO:     51.195.190.14:58122 - "GET /menu.jsp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.279110491Z INFO:     51.195.190.14:58310 - "GET /cluster/list.query HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.329006102Z INFO:     51.195.190.14:58424 - "GET /localstart.jhtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.431918516Z INFO:     51.195.190.14:58612 - "GET /apps/zxtm/login.cgi HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.482848739Z INFO:     51.195.190.14:58724 - "GET /default.cgi HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.584047047Z INFO:     51.195.190.14:58972 - "GET /api/server/version HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.584805586Z INFO:     51.195.190.14:58974 - "GET /webui HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.634901340Z INFO:     51.195.190.14:59074 - "GET /start.jsp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.733849204Z INFO:     51.195.190.14:59338 - "GET /administrator/manifests/files/joomla.xml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.784151241Z INFO:     51.195.190.14:59506 - "GET /main.shtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.885755342Z INFO:     51.195.190.14:59820 - "GET /language/en-GB/en-GB.xml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:15.938010129Z INFO:     51.195.190.14:59956 - "GET /index.pl HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.037142195Z INFO:     51.195.190.14:60250 - "GET /versa/login HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.087456104Z INFO:     51.195.190.14:60394 - "GET /start.jhtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.190463474Z INFO:     51.195.190.14:60656 - "GET /login.html HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.239720078Z INFO:     51.195.190.14:60792 - "GET /default.asp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.342540028Z INFO:     51.195.190.14:32786 - "GET /p/login/ HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.394490308Z INFO:     51.195.190.14:32914 - "GET /start.html HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.497435652Z INFO:     51.195.190.14:33138 - "GET /api/version HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.548642781Z INFO:     51.195.190.14:33244 - "GET /base.inc HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.649931346Z INFO:     51.195.190.14:33420 - "GET /portal/ HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.699324354Z INFO:     51.195.190.14:33520 - "GET /menu.asp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.803087047Z INFO:     51.195.190.14:33716 - "GET /status HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.804573120Z INFO:     51.195.190.14:33718 - "GET /rest/applinks/1.0/manifest HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.851885390Z INFO:     51.195.190.14:33816 - "GET /inicio.jhtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.956869572Z INFO:     51.195.190.14:33972 - "GET /confluence/rest/applinks/1.0/manifest HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:16.957059866Z INFO:     51.195.190.14:33968 - "GET /info.asp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.008946938Z INFO:     51.195.190.14:34062 - "GET /base.html HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.109769457Z INFO:     51.195.190.14:34252 - "GET /cgi-bin/param.cgi?get_device_conf HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.157876645Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:59:17.260688801Z INFO:     51.195.190.14:34476 - "GET /lms/db HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.310433162Z INFO:     51.195.190.14:34582 - "GET /localstart.asp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.412866675Z INFO:     51.195.190.14:34750 - "GET /ext-js/app/common/zld_product_spec.js HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.460731092Z INFO:     51.195.190.14:34836 - "GET /start.cgi HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.565228079Z INFO:     51.195.190.14:35000 - "GET /login/login.html HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.615506512Z INFO:     51.195.190.14:35106 - "GET /default.shtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.714707938Z INFO:     51.195.190.14:35314 - "GET /allversions HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.768806110Z INFO:     51.195.190.14:35466 - "GET /start.shtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.874356686Z INFO:     51.195.190.14:35708 - "GET /versions HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:17.924308933Z INFO:     51.195.190.14:35836 - "GET /base.cgi HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.029482888Z INFO:     51.195.190.14:36080 - "GET /r-seenet/index.php HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.081428530Z INFO:     51.195.190.14:36240 - "GET /default.pl HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.182417658Z INFO:     51.195.190.14:36478 - "GET /api/vip/i18n/api/v2/translation/products/vRNIUI/versions/1 HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.236051427Z INFO:     51.195.190.14:36572 - "GET /index.html HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.338227310Z INFO:     51.195.190.14:36816 - "GET /tos/index.php?user/login HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.391519314Z INFO:     51.195.190.14:36900 - "GET /readme.txt HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.495259406Z INFO:     51.195.190.14:37096 - "GET /c/login HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.547342512Z INFO:     51.195.190.14:37220 - "GET /default.jhtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.651676978Z INFO:     51.195.190.14:37472 - "GET /WebApp/js/UI_String.js HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.703043243Z INFO:     51.195.190.14:37588 - "GET /index.aspx HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.805092060Z INFO:     51.195.190.14:37770 - "GET /login.aspx HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.861248949Z INFO:     51.195.190.14:37906 - "GET /main.cfm HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:18.962153460Z INFO:     51.195.190.14:38118 - "GET /officescan/console/html/localization.js HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:19.014724784Z INFO:     51.195.190.14:38214 - "GET /localstart.jsp HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:19.118070813Z INFO:     51.195.190.14:38426 - "GET /officescan/console/cgi/cgiChkMasterPwd.exe HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:19.171396710Z INFO:     51.195.190.14:38552 - "GET /default.php HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:19.269875453Z INFO:     51.195.190.14:38758 - "GET /IPCamDesc.xml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:19.323346558Z INFO:     51.195.190.14:38844 - "GET /main.jhtml HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:19.426057968Z INFO:     51.195.190.14:39050 - "GET /kylin/ HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:19.483006318Z INFO:     51.195.190.14:39164 - "GET /admin.jsa HTTP/1.1" 404 Not Found
captely-crm-service  | 2025-06-08T13:59:19.584411180Z INFO:     51.195.190.14:39426 - "GET /api/v1.0/environment HTTP/1.1" 404 Not Found
